review,cleaned_review,rating,date,bank,sentiment_label,sentiment_score,identified_theme
"App is very slow during transfers, takes forever to process Please fix!","app is very slow during transfers, takes forever to process please fix!",3,2026-01-22,CBE,negative,0.4875000000000001,Transaction Performance
"Please add dark mode, it's hard on eyes at night Very disappointed.","please add dark mode, it's hard on eyes at night very disappointed.",3,2025-12-27,CBE,negative,0.47222222222222227,Feature Requests
App crashes when I try to pay bills Very disappointed.,app crashes when i try to pay bills very disappointed.,1,2026-05-15,CBE,negative,0.9750000000000001,App Stability
"Loading takes too long, need optimization Update needed.","loading takes too long, need optimization update needed.",4,2026-05-04,CBE,neutral,0.5,Other
App crashes when I try to pay bills Very disappointed.,app crashes when i try to pay bills very disappointed.,1,2025-11-20,CBE,negative,0.9750000000000001,App Stability
"OTP never arrives, please fix this issue urgently Great work!","otp never arrives, please fix this issue urgently great work!",4,2026-02-01,CBE,positive,1.0,Account Access
"Login issues every time, very frustrating","login issues every time, very frustrating",5,2026-05-16,CBE,negative,0.52,Account Access
"Please add dark mode, it's hard on eyes at night Please fix!","please add dark mode, it's hard on eyes at night please fix!",4,2025-11-20,CBE,negative,0.2572916666666667,Feature Requests
"OTP never arrives, please fix this issue urgently Very disappointed.","otp never arrives, please fix this issue urgently very disappointed.",4,2026-03-01,CBE,negative,0.9750000000000001,Account Access
Good app but needs fingerprint login feature Great work!,good app but needs fingerprint login feature great work!,3,2025-12-17,CBE,positive,0.85,Account Access
"App is very slow during transfers, takes forever to process Very disappointed.","app is very slow during transfers, takes forever to process very disappointed.",4,2025-12-24,CBE,negative,0.6825000000000001,Transaction Performance
Good app but needs fingerprint login feature Update needed.,good app but needs fingerprint login feature update needed.,5,2026-02-05,CBE,positive,0.7,Account Access
"Fast and secure, recommended for everyone So frustrating.","fast and secure, recommended for everyone so frustrating.",3,2025-11-28,CBE,neutral,0.5,Transaction Performance
"Login issues every time, very frustrating Please fix!","login issues every time, very frustrating please fix!",3,2026-01-24,CBE,negative,0.65,Account Access
Good app but needs fingerprint login feature Very disappointed.,good app but needs fingerprint login feature very disappointed.,5,2025-12-11,CBE,negative,0.13750000000000007,Account Access
"Please add dark mode, it's hard on eyes at night","please add dark mode, it's hard on eyes at night",2,2026-03-23,CBE,negative,0.22083333333333333,Feature Requests
App crashes when I try to pay bills Highly recommend.,app crashes when i try to pay bills highly recommend.,4,2026-04-22,CBE,positive,0.16,App Stability
"Loading takes too long, need optimization Great work!","loading takes too long, need optimization great work!",4,2026-03-09,CBE,positive,0.475,Other
Very reliable for daily transactions,very reliable for daily transactions,3,2026-01-07,CBE,positive,0.1,Transaction Performance
Very reliable for daily transactions,very reliable for daily transactions,5,2026-05-02,CBE,positive,0.1,Transaction Performance
App freezes on payment screen Update needed.,app freezes on payment screen update needed.,4,2026-02-24,CBE,neutral,0.5,Transaction Performance
"Loading takes too long, need optimization So frustrating.","loading takes too long, need optimization so frustrating.",5,2026-04-05,CBE,negative,0.225,Other
Customer support helped me resolve my issue quickly Very disappointed.,customer support helped me resolve my issue quickly very disappointed.,5,2025-11-28,CBE,negative,0.9750000000000001,Customer Support
Good app but needs fingerprint login feature So frustrating.,good app but needs fingerprint login feature so frustrating.,4,2025-12-07,CBE,positive,0.14999999999999997,Account Access
Transaction failed multiple times today Please fix!,transaction failed multiple times today please fix!,5,2026-02-05,CBE,negative,0.25,Transaction Performance
App crashes when I try to pay bills Please fix!,app crashes when i try to pay bills please fix!,2,2025-12-25,CBE,neutral,0.5,App Stability
Transaction failed multiple times today Please fix!,transaction failed multiple times today please fix!,4,2026-05-09,CBE,negative,0.25,Transaction Performance
"Loading takes too long, need optimization Please fix!","loading takes too long, need optimization please fix!",2,2026-03-11,CBE,neutral,0.5,Other
"Please add dark mode, it's hard on eyes at night Update needed.","please add dark mode, it's hard on eyes at night update needed.",5,2026-02-06,CBE,negative,0.22083333333333333,Feature Requests
"Fast and secure, recommended for everyone Highly recommend.","fast and secure, recommended for everyone highly recommend.",5,2026-04-10,CBE,positive,0.25333333333333335,Transaction Performance
App crashes when I try to pay bills,app crashes when i try to pay bills,5,2025-12-21,CBE,neutral,0.5,App Stability
"Fast and secure, recommended for everyone","fast and secure, recommended for everyone",1,2025-12-20,CBE,positive,0.30000000000000004,Transaction Performance
"Login issues every time, very frustrating Very disappointed.","login issues every time, very frustrating very disappointed.",2,2026-02-21,CBE,negative,0.7475,Account Access
"Loading takes too long, need optimization Highly recommend.","loading takes too long, need optimization highly recommend.",5,2026-02-17,CBE,neutral,0.5,Other
"Please add dark mode, it's hard on eyes at night Great work!","please add dark mode, it's hard on eyes at night great work!",5,2026-03-04,CBE,positive,0.18611111111111112,Feature Requests
"Please add dark mode, it's hard on eyes at night Great work!","please add dark mode, it's hard on eyes at night great work!",1,2026-02-23,CBE,positive,0.18611111111111112,Feature Requests
"Fast and secure, recommended for everyone Very disappointed.","fast and secure, recommended for everyone very disappointed.",5,2026-02-24,CBE,negative,0.125,Transaction Performance
Good app but needs fingerprint login feature Very disappointed.,good app but needs fingerprint login feature very disappointed.,3,2026-03-09,CBE,negative,0.13750000000000007,Account Access
App freezes on payment screen Update needed.,app freezes on payment screen update needed.,3,2026-02-12,CBE,neutral,0.5,Transaction Performance
Transaction failed multiple times today,transaction failed multiple times today,1,2026-03-25,CBE,negative,0.25,Transaction Performance
"App is very slow during transfers, takes forever to process Very disappointed.","app is very slow during transfers, takes forever to process very disappointed.",4,2025-12-23,CBE,negative,0.6825000000000001,Transaction Performance
"Great UI design, best banking app in Ethiopia Highly recommend.","great ui design, best banking app in ethiopia highly recommend.",1,2026-04-11,CBE,positive,0.6533333333333333,UI and Design
"App is very slow during transfers, takes forever to process So frustrating.","app is very slow during transfers, takes forever to process so frustrating.",4,2026-02-08,CBE,negative,0.395,Transaction Performance
"Login issues every time, very frustrating Highly recommend.","login issues every time, very frustrating highly recommend.",3,2026-02-15,CBE,negative,0.18,Account Access
App freezes on payment screen Very disappointed.,app freezes on payment screen very disappointed.,1,2026-04-04,CBE,negative,0.9750000000000001,Transaction Performance
"Fast and secure, recommended for everyone Update needed.","fast and secure, recommended for everyone update needed.",5,2026-01-07,CBE,positive,0.30000000000000004,Transaction Performance
Fingerprint login would make it perfect Highly recommend.,fingerprint login would make it perfect highly recommend.,5,2026-05-04,CBE,positive,0.58,Account Access
"Loading takes too long, need optimization","loading takes too long, need optimization",4,2025-11-28,CBE,neutral,0.5,Other
Good app but needs fingerprint login feature,good app but needs fingerprint login feature,3,2026-05-18,CBE,positive,0.7,Account Access
Very reliable for daily transactions Great work!,very reliable for daily transactions great work!,5,2025-11-21,CBE,positive,0.39999999999999997,Transaction Performance
"Please add dark mode, it's hard on eyes at night","please add dark mode, it's hard on eyes at night",4,2025-12-28,CBE,negative,0.22083333333333333,Feature Requests
"Great UI design, best banking app in Ethiopia Highly recommend.","great ui design, best banking app in ethiopia highly recommend.",5,2026-03-10,CBE,positive,0.6533333333333333,UI and Design
"Please add dark mode, it's hard on eyes at night Highly recommend.","please add dark mode, it's hard on eyes at night highly recommend.",3,2026-01-14,CBE,neutral,0.5,Feature Requests
App freezes on payment screen Very disappointed.,app freezes on payment screen very disappointed.,1,2025-12-22,CBE,negative,0.9750000000000001,Transaction Performance
"App is very slow during transfers, takes forever to process","app is very slow during transfers, takes forever to process",4,2026-04-19,CBE,negative,0.39000000000000007,Transaction Performance
"Great UI design, best banking app in Ethiopia Very disappointed.","great ui design, best banking app in ethiopia very disappointed.",5,2026-01-08,CBE,positive,0.27499999999999997,UI and Design
"Love the interface, very user friendly and intuitive","love the interface, very user friendly and intuitive",5,2026-01-11,CBE,positive,0.35833333333333334,UI and Design
"Fast and secure, recommended for everyone Highly recommend.","fast and secure, recommended for everyone highly recommend.",5,2025-12-20,CBE,positive,0.25333333333333335,Transaction Performance
"App is very slow during transfers, takes forever to process Great work!","app is very slow during transfers, takes forever to process great work!",4,2025-11-23,CBE,positive,0.30499999999999994,Transaction Performance
Very reliable for daily transactions So frustrating.,very reliable for daily transactions so frustrating.,4,2026-01-30,CBE,neutral,0.5,Transaction Performance
"Great UI design, best banking app in Ethiopia Great work!","great ui design, best banking app in ethiopia great work!",2,2025-12-10,CBE,positive,0.9333333333333332,UI and Design
Good app but needs fingerprint login feature Great work!,good app but needs fingerprint login feature great work!,5,2026-05-09,CBE,positive,0.85,Account Access
Good app but needs fingerprint login feature Great work!,good app but needs fingerprint login feature great work!,5,2026-02-06,CBE,positive,0.85,Account Access
App crashes when I try to pay bills Very disappointed.,app crashes when i try to pay bills very disappointed.,5,2026-01-23,CBE,negative,0.9750000000000001,App Stability
"Fast and secure, recommended for everyone","fast and secure, recommended for everyone",5,2026-05-15,CBE,positive,0.30000000000000004,Transaction Performance
"Login issues every time, very frustrating Please fix!","login issues every time, very frustrating please fix!",5,2026-04-11,CBE,negative,0.65,Account Access
Transaction failed multiple times today,transaction failed multiple times today,5,2026-04-05,CBE,negative,0.25,Transaction Performance
Customer support helped me resolve my issue quickly So frustrating.,customer support helped me resolve my issue quickly so frustrating.,4,2026-03-17,CBE,negative,0.4,Customer Support
"Fast and secure, recommended for everyone Very disappointed.","fast and secure, recommended for everyone very disappointed.",3,2026-05-16,CBE,negative,0.125,Transaction Performance
"Fast and secure, recommended for everyone Please fix!","fast and secure, recommended for everyone please fix!",1,2026-05-18,CBE,positive,0.35,Transaction Performance
"Fast and secure, recommended for everyone Highly recommend.","fast and secure, recommended for everyone highly recommend.",4,2026-03-26,CBE,positive,0.25333333333333335,Transaction Performance
Good app but needs fingerprint login feature Please fix!,good app but needs fingerprint login feature please fix!,3,2025-12-28,CBE,positive,0.875,Account Access
Good app but needs fingerprint login feature So frustrating.,good app but needs fingerprint login feature so frustrating.,5,2025-12-21,CBE,positive,0.14999999999999997,Account Access
Customer support helped me resolve my issue quickly Very disappointed.,customer support helped me resolve my issue quickly very disappointed.,3,2026-01-30,CBE,negative,0.9750000000000001,Customer Support
"Great UI design, best banking app in Ethiopia Great work!","great ui design, best banking app in ethiopia great work!",4,2026-01-26,CBE,positive,0.9333333333333332,UI and Design
"App is very slow during transfers, takes forever to process Great work!","app is very slow during transfers, takes forever to process great work!",5,2025-11-22,CBE,positive,0.30499999999999994,Transaction Performance
"App is very slow during transfers, takes forever to process Update needed.","app is very slow during transfers, takes forever to process update needed.",5,2026-03-22,CBE,negative,0.39000000000000007,Transaction Performance
App crashes when I try to pay bills,app crashes when i try to pay bills,1,2026-03-18,CBE,neutral,0.5,App Stability
"Login issues every time, very frustrating Please fix!","login issues every time, very frustrating please fix!",1,2025-12-31,CBE,negative,0.65,Account Access
"OTP never arrives, please fix this issue urgently Update needed.","otp never arrives, please fix this issue urgently update needed.",1,2026-03-24,CBE,neutral,0.5,Account Access
Very reliable for daily transactions,very reliable for daily transactions,3,2026-03-27,CBE,positive,0.1,Transaction Performance
"App is very slow during transfers, takes forever to process","app is very slow during transfers, takes forever to process",4,2026-03-24,CBE,negative,0.39000000000000007,Transaction Performance
App crashes when I try to pay bills Great work!,app crashes when i try to pay bills great work!,1,2026-04-13,CBE,positive,1.0,App Stability
Transaction failed multiple times today Highly recommend.,transaction failed multiple times today highly recommend.,5,2026-02-11,CBE,negative,0.11333333333333333,Transaction Performance
"Fast and secure, recommended for everyone Highly recommend.","fast and secure, recommended for everyone highly recommend.",1,2026-04-02,CBE,positive,0.25333333333333335,Transaction Performance
Customer support helped me resolve my issue quickly Update needed.,customer support helped me resolve my issue quickly update needed.,4,2026-04-24,CBE,positive,0.3333333333333333,Customer Support
"Love the interface, very user friendly and intuitive Great work!","love the interface, very user friendly and intuitive great work!",4,2025-12-22,CBE,positive,0.51875,UI and Design
App freezes on payment screen Great work!,app freezes on payment screen great work!,3,2025-11-29,CBE,positive,1.0,Transaction Performance
"Fast and secure, recommended for everyone","fast and secure, recommended for everyone",5,2026-01-10,CBE,positive,0.30000000000000004,Transaction Performance
"Fast and secure, recommended for everyone Very disappointed.","fast and secure, recommended for everyone very disappointed.",1,2026-03-08,CBE,negative,0.125,Transaction Performance
"OTP never arrives, please fix this issue urgently Very disappointed.","otp never arrives, please fix this issue urgently very disappointed.",5,2026-03-02,CBE,negative,0.9750000000000001,Account Access
App crashes when I try to pay bills Update needed.,app crashes when i try to pay bills update needed.,1,2026-03-19,CBE,neutral,0.5,App Stability
App crashes when I try to pay bills Very disappointed.,app crashes when i try to pay bills very disappointed.,5,2025-12-18,CBE,negative,0.9750000000000001,App Stability
Transaction failed multiple times today Very disappointed.,transaction failed multiple times today very disappointed.,5,2026-01-06,CBE,negative,0.4916666666666667,Transaction Performance
Customer support helped me resolve my issue quickly Very disappointed.,customer support helped me resolve my issue quickly very disappointed.,3,2026-02-21,CBE,negative,0.9750000000000001,Customer Support
"Fast and secure, recommended for everyone","fast and secure, recommended for everyone",3,2026-02-16,CBE,positive,0.30000000000000004,Transaction Performance
"Login issues every time, very frustrating Please fix!","login issues every time, very frustrating please fix!",3,2025-12-03,CBE,negative,0.65,Account Access
"Love the interface, very user friendly and intuitive","love the interface, very user friendly and intuitive",1,2026-05-08,CBE,positive,0.35833333333333334,UI and Design
App freezes on payment screen,app freezes on payment screen,4,2026-04-14,CBE,neutral,0.5,Transaction Performance
"Please add dark mode, it's hard on eyes at night Highly recommend.","please add dark mode, it's hard on eyes at night highly recommend.",5,2026-05-17,CBE,neutral,0.5,Feature Requests
App freezes on payment screen Great work!,app freezes on payment screen great work!,4,2026-05-05,CBE,positive,1.0,Transaction Performance
"Great UI design, best banking app in Ethiopia Please fix!","great ui design, best banking app in ethiopia please fix!",3,2026-03-14,CBE,positive,0.9,UI and Design
"Please add dark mode, it's hard on eyes at night Great work!","please add dark mode, it's hard on eyes at night great work!",4,2025-11-23,CBE,positive,0.18611111111111112,Feature Requests
"Love the interface, very user friendly and intuitive Great work!","love the interface, very user friendly and intuitive great work!",4,2025-12-26,CBE,positive,0.51875,UI and Design
"Please add dark mode, it's hard on eyes at night","please add dark mode, it's hard on eyes at night",5,2026-04-24,CBE,negative,0.22083333333333333,Feature Requests
"Love the interface, very user friendly and intuitive Update needed.","love the interface, very user friendly and intuitive update needed.",5,2026-02-05,CBE,positive,0.35833333333333334,UI and Design
"Please add dark mode, it's hard on eyes at night Very disappointed.","please add dark mode, it's hard on eyes at night very disappointed.",4,2025-12-24,CBE,negative,0.47222222222222227,Feature Requests
"Great UI design, best banking app in Ethiopia Highly recommend.","great ui design, best banking app in ethiopia highly recommend.",4,2025-11-20,CBE,positive,0.6533333333333333,UI and Design
"Login issues every time, very frustrating So frustrating.","login issues every time, very frustrating so frustrating.",4,2025-12-08,CBE,negative,0.46,Account Access
"Great UI design, best banking app in Ethiopia Very disappointed.","great ui design, best banking app in ethiopia very disappointed.",5,2026-01-09,CBE,positive,0.27499999999999997,UI and Design
"Love the interface, very user friendly and intuitive Very disappointed.","love the interface, very user friendly and intuitive very disappointed.",1,2026-04-05,CBE,neutral,0.5,UI and Design
"Login issues every time, very frustrating Great work!","login issues every time, very frustrating great work!",4,2025-12-31,CBE,positive,0.24,Account Access
Good app but needs fingerprint login feature Highly recommend.,good app but needs fingerprint login feature highly recommend.,4,2025-11-22,CBE,positive,0.43,Account Access
App freezes on payment screen Very disappointed.,app freezes on payment screen very disappointed.,3,2026-03-17,CBE,negative,0.9750000000000001,Transaction Performance
Fingerprint login would make it perfect Please fix!,fingerprint login would make it perfect please fix!,4,2025-12-21,CBE,positive,1.0,Account Access
"Login issues every time, very frustrating Update needed.","login issues every time, very frustrating update needed.",5,2026-03-19,CBE,negative,0.52,Account Access
"Loading takes too long, need optimization Highly recommend.","loading takes too long, need optimization highly recommend.",5,2025-12-11,CBE,neutral,0.5,Other
App freezes on payment screen,app freezes on payment screen,4,2026-03-26,CBE,neutral,0.5,Transaction Performance
Fingerprint login would make it perfect Update needed.,fingerprint login would make it perfect update needed.,4,2026-03-29,CBE,positive,1.0,Account Access
"Please add dark mode, it's hard on eyes at night Very disappointed.","please add dark mode, it's hard on eyes at night very disappointed.",4,2026-02-28,CBE,negative,0.47222222222222227,Feature Requests
"Love the interface, very user friendly and intuitive","love the interface, very user friendly and intuitive",3,2026-02-23,CBE,positive,0.35833333333333334,UI and Design
"Fast and secure, recommended for everyone","fast and secure, recommended for everyone",1,2026-05-13,CBE,positive,0.30000000000000004,Transaction Performance
"Loading takes too long, need optimization","loading takes too long, need optimization",3,2026-01-30,CBE,neutral,0.5,Other
Fingerprint login would make it perfect,fingerprint login would make it perfect,4,2026-02-21,CBE,positive,1.0,Account Access
Customer support helped me resolve my issue quickly Highly recommend.,customer support helped me resolve my issue quickly highly recommend.,5,2026-05-05,CBE,positive,0.16,Customer Support
"Fast and secure, recommended for everyone Highly recommend.","fast and secure, recommended for everyone highly recommend.",5,2026-02-17,CBE,positive,0.25333333333333335,Transaction Performance
Fingerprint login would make it perfect Great work!,fingerprint login would make it perfect great work!,5,2026-02-04,CBE,positive,1.0,Account Access
"Loading takes too long, need optimization Update needed.","loading takes too long, need optimization update needed.",4,2025-12-31,CBE,neutral,0.5,Other
"Loading takes too long, need optimization Update needed.","loading takes too long, need optimization update needed.",4,2026-05-02,CBE,neutral,0.5,Other
Transaction failed multiple times today So frustrating.,transaction failed multiple times today so frustrating.,2,2026-02-09,CBE,negative,0.3,Transaction Performance
"Fast and secure, recommended for everyone Very disappointed.","fast and secure, recommended for everyone very disappointed.",4,2026-01-22,CBE,negative,0.125,Transaction Performance
"Login issues every time, very frustrating So frustrating.","login issues every time, very frustrating so frustrating.",4,2026-03-24,CBE,negative,0.46,Account Access
"Fast and secure, recommended for everyone So frustrating.","fast and secure, recommended for everyone so frustrating.",5,2026-02-18,CBE,neutral,0.5,Transaction Performance
"Great UI design, best banking app in Ethiopia Great work!","great ui design, best banking app in ethiopia great work!",4,2025-11-29,CBE,positive,0.9333333333333332,UI and Design
"App is very slow during transfers, takes forever to process So frustrating.","app is very slow during transfers, takes forever to process so frustrating.",4,2026-01-23,CBE,negative,0.395,Transaction Performance
Customer support helped me resolve my issue quickly So frustrating.,customer support helped me resolve my issue quickly so frustrating.,5,2025-12-15,CBE,negative,0.4,Customer Support
"Love the interface, very user friendly and intuitive Update needed.","love the interface, very user friendly and intuitive update needed.",5,2025-12-22,CBE,positive,0.35833333333333334,UI and Design
Customer support helped me resolve my issue quickly Please fix!,customer support helped me resolve my issue quickly please fix!,1,2026-02-15,CBE,positive,0.41666666666666663,Customer Support
App crashes when I try to pay bills Very disappointed.,app crashes when i try to pay bills very disappointed.,3,2026-03-20,CBE,negative,0.9750000000000001,App Stability
"Great UI design, best banking app in Ethiopia Highly recommend.","great ui design, best banking app in ethiopia highly recommend.",4,2025-11-21,CBE,positive,0.6533333333333333,UI and Design
Good app but needs fingerprint login feature Update needed.,good app but needs fingerprint login feature update needed.,2,2026-02-11,CBE,positive,0.7,Account Access
"Loading takes too long, need optimization Highly recommend.","loading takes too long, need optimization highly recommend.",5,2026-05-06,CBE,neutral,0.5,Other
App crashes when I try to pay bills Very disappointed.,app crashes when i try to pay bills very disappointed.,3,2026-04-24,CBE,negative,0.9750000000000001,App Stability
App freezes on payment screen Update needed.,app freezes on payment screen update needed.,3,2025-11-24,CBE,neutral,0.5,Transaction Performance
"Fast and secure, recommended for everyone Please fix!","fast and secure, recommended for everyone please fix!",3,2026-03-22,CBE,positive,0.35,Transaction Performance
"Great UI design, best banking app in Ethiopia So frustrating.","great ui design, best banking app in ethiopia so frustrating.",4,2025-12-13,CBE,positive,0.4666666666666666,UI and Design
App crashes when I try to pay bills Update needed.,app crashes when i try to pay bills update needed.,3,2026-04-26,CBE,neutral,0.5,App Stability
App crashes when I try to pay bills Highly recommend.,app crashes when i try to pay bills highly recommend.,5,2026-01-12,CBE,positive,0.16,App Stability
App crashes when I try to pay bills,app crashes when i try to pay bills,2,2025-12-06,CBE,neutral,0.5,App Stability
App freezes on payment screen Very disappointed.,app freezes on payment screen very disappointed.,5,2026-04-21,CBE,negative,0.9750000000000001,Transaction Performance
App freezes on payment screen Great work!,app freezes on payment screen great work!,2,2026-03-22,CBE,positive,1.0,Transaction Performance
"Great UI design, best banking app in Ethiopia So frustrating.","great ui design, best banking app in ethiopia so frustrating.",3,2026-03-10,CBE,positive,0.4666666666666666,UI and Design
Transaction failed multiple times today Please fix!,transaction failed multiple times today please fix!,3,2025-12-13,CBE,negative,0.25,Transaction Performance
"OTP never arrives, please fix this issue urgently Very disappointed.","otp never arrives, please fix this issue urgently very disappointed.",4,2026-04-15,CBE,negative,0.9750000000000001,Account Access
Good app but needs fingerprint login feature Great work!,good app but needs fingerprint login feature great work!,4,2025-12-23,CBE,positive,0.85,Account Access
"Love the interface, very user friendly and intuitive Update needed.","love the interface, very user friendly and intuitive update needed.",5,2026-02-21,CBE,positive,0.35833333333333334,UI and Design
"Love the interface, very user friendly and intuitive Very disappointed.","love the interface, very user friendly and intuitive very disappointed.",2,2026-01-09,CBE,neutral,0.5,UI and Design
"App is very slow during transfers, takes forever to process Please fix!","app is very slow during transfers, takes forever to process please fix!",5,2025-12-26,CBE,negative,0.4875000000000001,Transaction Performance
"App is very slow during transfers, takes forever to process Highly recommend.","app is very slow during transfers, takes forever to process highly recommend.",3,2026-01-19,CBE,negative,0.11500000000000003,Transaction Performance
App freezes on payment screen,app freezes on payment screen,2,2026-03-05,CBE,neutral,0.5,Transaction Performance
App freezes on payment screen Update needed.,app freezes on payment screen update needed.,3,2025-12-23,CBE,neutral,0.5,Transaction Performance
App freezes on payment screen Please fix!,app freezes on payment screen please fix!,3,2026-02-11,CBE,neutral,0.5,Transaction Performance
"Please add dark mode, it's hard on eyes at night Update needed.","please add dark mode, it's hard on eyes at night update needed.",2,2026-04-24,CBE,negative,0.22083333333333333,Feature Requests
Customer support helped me resolve my issue quickly Highly recommend.,customer support helped me resolve my issue quickly highly recommend.,3,2026-03-09,CBE,positive,0.16,Customer Support
Customer support helped me resolve my issue quickly Please fix!,customer support helped me resolve my issue quickly please fix!,3,2026-01-18,CBE,positive,0.41666666666666663,Customer Support
"Loading takes too long, need optimization Please fix!","loading takes too long, need optimization please fix!",4,2026-03-12,CBE,neutral,0.5,Other
"App is very slow during transfers, takes forever to process So frustrating.","app is very slow during transfers, takes forever to process so frustrating.",1,2026-02-16,CBE,negative,0.395,Transaction Performance
"Please add dark mode, it's hard on eyes at night So frustrating.","please add dark mode, it's hard on eyes at night so frustrating.",2,2026-04-20,CBE,negative,0.28055555555555556,Feature Requests
"Fast and secure, recommended for everyone Very disappointed.","fast and secure, recommended for everyone very disappointed.",3,2025-12-25,CBE,negative,0.125,Transaction Performance
"Love the interface, very user friendly and intuitive Great work!","love the interface, very user friendly and intuitive great work!",3,2026-05-02,CBE,positive,0.51875,UI and Design
"Love the interface, very user friendly and intuitive Highly recommend.","love the interface, very user friendly and intuitive highly recommend.",1,2026-02-20,CBE,positive,0.30874999999999997,UI and Design
"Great UI design, best banking app in Ethiopia So frustrating.","great ui design, best banking app in ethiopia so frustrating.",5,2026-04-09,CBE,positive,0.4666666666666666,UI and Design
Good app but needs fingerprint login feature Great work!,good app but needs fingerprint login feature great work!,4,2026-05-14,CBE,positive,0.85,Account Access
"OTP never arrives, please fix this issue urgently So frustrating.","otp never arrives, please fix this issue urgently so frustrating.",2,2025-12-01,CBE,negative,0.4,Account Access
Fingerprint login would make it perfect,fingerprint login would make it perfect,1,2026-05-13,CBE,positive,1.0,Account Access
"App is very slow during transfers, takes forever to process So frustrating.","app is very slow during transfers, takes forever to process so frustrating.",5,2026-02-15,CBE,negative,0.395,Transaction Performance
"Loading takes too long, need optimization Please fix!","loading takes too long, need optimization please fix!",5,2026-01-09,CBE,neutral,0.5,Other
Good app but needs fingerprint login feature Great work!,good app but needs fingerprint login feature great work!,1,2026-02-20,CBE,positive,0.85,Account Access
Customer support helped me resolve my issue quickly Highly recommend.,customer support helped me resolve my issue quickly highly recommend.,5,2026-03-28,CBE,positive,0.16,Customer Support
Very reliable for daily transactions So frustrating.,very reliable for daily transactions so frustrating.,4,2026-04-07,CBE,neutral,0.5,Transaction Performance
"OTP never arrives, please fix this issue urgently Very disappointed.","otp never arrives, please fix this issue urgently very disappointed.",4,2026-03-04,CBE,negative,0.9750000000000001,Account Access
"Please add dark mode, it's hard on eyes at night","please add dark mode, it's hard on eyes at night",4,2026-04-03,CBE,negative,0.22083333333333333,Feature Requests
"OTP never arrives, please fix this issue urgently So frustrating.","otp never arrives, please fix this issue urgently so frustrating.",5,2026-05-05,CBE,negative,0.4,Account Access
"OTP never arrives, please fix this issue urgently Update needed.","otp never arrives, please fix this issue urgently update needed.",3,2026-01-08,CBE,neutral,0.5,Account Access
"Great UI design, best banking app in Ethiopia Update needed.","great ui design, best banking app in ethiopia update needed.",5,2026-05-07,CBE,positive,0.9,UI and Design
Transaction failed multiple times today Very disappointed.,transaction failed multiple times today very disappointed.,2,2026-02-05,CBE,negative,0.4916666666666667,Transaction Performance
